"","date","hits","keyword","geo","time","gprop","category"
"1",2004-01-01,0,"Paraguero Corbatudo","world","all","web",0
"2",2004-02-01,0,"Paraguero Corbatudo","world","all","web",0
"3",2004-03-01,0,"Paraguero Corbatudo","world","all","web",0
"4",2004-04-01,0,"Paraguero Corbatudo","world","all","web",0
"5",2004-05-01,0,"Paraguero Corbatudo","world","all","web",0
"6",2004-06-01,0,"Paraguero Corbatudo","world","all","web",0
"7",2004-07-01,0,"Paraguero Corbatudo","world","all","web",0
"8",2004-08-01,0,"Paraguero Corbatudo","world","all","web",0
"9",2004-09-01,0,"Paraguero Corbatudo","world","all","web",0
"10",2004-10-01,0,"Paraguero Corbatudo","world","all","web",0
"11",2004-11-01,0,"Paraguero Corbatudo","world","all","web",0
"12",2004-12-01,0,"Paraguero Corbatudo","world","all","web",0
"13",2005-01-01,0,"Paraguero Corbatudo","world","all","web",0
"14",2005-02-01,0,"Paraguero Corbatudo","world","all","web",0
"15",2005-03-01,0,"Paraguero Corbatudo","world","all","web",0
"16",2005-04-01,0,"Paraguero Corbatudo","world","all","web",0
"17",2005-05-01,0,"Paraguero Corbatudo","world","all","web",0
"18",2005-06-01,0,"Paraguero Corbatudo","world","all","web",0
"19",2005-07-01,0,"Paraguero Corbatudo","world","all","web",0
"20",2005-08-01,0,"Paraguero Corbatudo","world","all","web",0
"21",2005-09-01,0,"Paraguero Corbatudo","world","all","web",0
"22",2005-10-01,0,"Paraguero Corbatudo","world","all","web",0
"23",2005-11-01,0,"Paraguero Corbatudo","world","all","web",0
"24",2005-12-01,0,"Paraguero Corbatudo","world","all","web",0
"25",2006-01-01,0,"Paraguero Corbatudo","world","all","web",0
"26",2006-02-01,0,"Paraguero Corbatudo","world","all","web",0
"27",2006-03-01,0,"Paraguero Corbatudo","world","all","web",0
"28",2006-04-01,0,"Paraguero Corbatudo","world","all","web",0
"29",2006-05-01,0,"Paraguero Corbatudo","world","all","web",0
"30",2006-06-01,0,"Paraguero Corbatudo","world","all","web",0
"31",2006-07-01,0,"Paraguero Corbatudo","world","all","web",0
"32",2006-08-01,0,"Paraguero Corbatudo","world","all","web",0
"33",2006-09-01,0,"Paraguero Corbatudo","world","all","web",0
"34",2006-10-01,0,"Paraguero Corbatudo","world","all","web",0
"35",2006-11-01,0,"Paraguero Corbatudo","world","all","web",0
"36",2006-12-01,0,"Paraguero Corbatudo","world","all","web",0
"37",2007-01-01,0,"Paraguero Corbatudo","world","all","web",0
"38",2007-02-01,0,"Paraguero Corbatudo","world","all","web",0
"39",2007-03-01,0,"Paraguero Corbatudo","world","all","web",0
"40",2007-04-01,0,"Paraguero Corbatudo","world","all","web",0
"41",2007-05-01,0,"Paraguero Corbatudo","world","all","web",0
"42",2007-06-01,0,"Paraguero Corbatudo","world","all","web",0
"43",2007-07-01,0,"Paraguero Corbatudo","world","all","web",0
"44",2007-08-01,0,"Paraguero Corbatudo","world","all","web",0
"45",2007-09-01,0,"Paraguero Corbatudo","world","all","web",0
"46",2007-10-01,0,"Paraguero Corbatudo","world","all","web",0
"47",2007-11-01,0,"Paraguero Corbatudo","world","all","web",0
"48",2007-12-01,0,"Paraguero Corbatudo","world","all","web",0
"49",2008-01-01,0,"Paraguero Corbatudo","world","all","web",0
"50",2008-02-01,0,"Paraguero Corbatudo","world","all","web",0
"51",2008-03-01,0,"Paraguero Corbatudo","world","all","web",0
"52",2008-04-01,0,"Paraguero Corbatudo","world","all","web",0
"53",2008-05-01,0,"Paraguero Corbatudo","world","all","web",0
"54",2008-06-01,0,"Paraguero Corbatudo","world","all","web",0
"55",2008-07-01,0,"Paraguero Corbatudo","world","all","web",0
"56",2008-08-01,0,"Paraguero Corbatudo","world","all","web",0
"57",2008-09-01,0,"Paraguero Corbatudo","world","all","web",0
"58",2008-10-01,0,"Paraguero Corbatudo","world","all","web",0
"59",2008-11-01,0,"Paraguero Corbatudo","world","all","web",0
